reservoir_id,month,mean_fill_pct
27139,1,7.38
27139,2,7.44
27139,3,8.07
27139,4,7.0
27139,5,3.77
27139,6,4.65
27139,7,7.47
27139,8,8.86
27139,9,10.28
27139,10,9.4
27139,11,8.53
27139,12,6.86
27161,1,1.41
27161,2,0.91
27161,3,1.6
27161,4,1.49
27161,5,1.33
27161,6,1.28
27161,7,1.19
27161,8,1.18
27161,9,1.11
27161,10,1.13
27161,11,1.31
27161,12,1.33
27165,1,0.87
27165,2,0.42
27165,3,0.45
27165,4,0.29
27165,5,0.15
27165,6,0.42
27165,7,0.58
27165,8,0.57
27165,9,0.58
27165,10,0.58
27165,11,0.49
27165,12,0.68
27274,1,2.66
27274,2,3.17
27274,3,3.27
27274,4,2.99
27274,5,2.26
27274,6,2.77
27274,7,2.55
27274,8,2.82
27274,9,3.17
27274,10,3.24
27274,11,3.14
27279,1,0.32
27279,2,0.48
27279,3,0.69
27279,4,0.36
27279,5,0.44
27279,6,0.31
27279,7,0.38
27279,8,0.49
27279,9,0.61
27279,10,0.58
27279,11,0.69
27444,2,1.81
27444,3,1.86
27444,4,1.12
27444,5,1.21
27444,6,0.0
27444,7,1.28
27444,8,1.47
27444,9,0.87
27444,10,2.22
27444,11,1.89
27447,2,4.28
27447,3,4.18
27447,4,2.05
27447,5,2.87
27447,6,0.0
27447,7,3.79
27447,8,14.56
27447,9,3.31
27447,10,4.23
27447,11,3.72
27474,2,0.75
27474,3,1.12
27474,4,1.12
27474,5,0.98
27474,6,1.14
27474,7,1.14
27474,8,1.22
27474,9,1.19
27474,10,1.11
27474,11,0.67
27476,2,0.69
27476,3,0.77
27476,4,0.76
27476,5,0.53
27476,6,0.74
27476,7,0.81
27476,8,0.78
27476,9,0.78
27476,10,0.81
27476,11,0.52
27501,2,0.74
27501,3,0.74
27501,4,0.7
27501,5,0.63
27501,6,0.66
27501,7,0.66
27501,8,0.56
27501,9,0.55
27501,10,0.6
27501,11,0.63
27509,2,1.98
27509,3,2.13
27509,4,2.09
27509,5,1.8
27509,6,1.32
27509,7,1.37
27509,8,1.58
27509,9,2.06
27509,10,1.77
27509,11,2.1
27514,2,0.77
27514,3,0.75
27514,4,0.81
27514,5,0.83
27514,6,0.75
27514,7,0.72
27514,8,0.77
27514,9,0.9
27514,10,0.75
27514,11,0.64
27521,2,1.16
27521,3,1.88
27521,4,1.65
27521,5,0.86
27521,6,0.92
27521,7,1.18
27521,8,1.15
27521,9,1.2
27521,10,1.8
27521,11,1.36
27523,2,1.42
27523,3,2.22
27523,4,1.96
27523,5,1.22
27523,6,0.89
27523,7,1.45
27523,8,1.18
27523,9,1.32
27523,10,2.02
27523,11,1.95
27541,2,2.77
27541,3,3.49
27541,4,2.66
27541,5,3.58
27541,6,3.65
27541,7,3.65
27541,8,3.54
27541,9,3.54
27541,10,3.5
27541,11,8.4
27542,2,3.56
27542,3,4.17
27542,4,3.5
27542,5,4.25
27542,6,4.33
27542,7,4.26
27542,8,4.2
27542,9,4.06
27542,10,4.05
27542,11,3.91
27557,2,1.32
27557,3,1.16
27557,4,1.04
27557,5,1.46
27557,6,1.27
27557,7,1.51
27557,8,1.46
27557,9,1.48
27557,10,1.6
27557,11,1.36
27558,2,2.29
27558,3,2.37
27558,4,2.6
27558,5,2.01
27558,6,1.24
27558,7,1.25
27558,8,1.53
27558,9,2.19
27558,10,1.26
27558,11,1.47
27559,2,2.3
27559,3,2.68
27559,4,2.35
27559,5,2.47
27559,6,2.49
27559,7,2.46
27559,8,2.39
27559,9,2.42
27559,10,2.23
27559,11,2.07
27567,2,0.61
27567,3,1.13
27567,4,1.18
27567,5,1.16
27567,6,1.05
27567,7,0.95
27567,8,0.93
27567,9,0.86
27567,10,0.78
27567,11,0.41
27620,2,3.38
27620,3,4.73
27620,4,4.75
27620,5,4.48
27620,6,4.15
27620,7,3.92
27620,8,3.58
27620,9,3.14
27620,10,4.56
27620,11,3.96
27621,2,3.82
27621,3,5.07
27621,4,4.28
27621,5,4.21
27621,6,3.06
27621,7,2.2
27621,8,3.02
27621,9,3.62
27621,10,4.42
27621,11,3.0
27623,2,0.09
27623,3,0.22
27623,4,0.08
27623,5,0.01
27623,6,0.01
27623,7,0.03
27623,8,0.02
27623,9,0.01
27623,10,0.11
27623,11,0.1
27626,2,8.92
27626,3,13.08
27626,4,12.63
27626,5,12.44
27626,6,11.25
27626,7,12.16
27626,8,11.71
27626,9,11.39
27626,10,11.72
27626,11,10.75
27629,2,1.25
27629,3,1.63
27629,4,1.29
27629,5,0.97
27629,6,0.44
27629,7,0.8
27629,8,0.7
27629,9,0.76
27629,10,1.58
27629,11,1.05
27637,2,13.76
27637,3,13.68
27637,4,13.65
27637,5,13.59
27637,6,13.59
27637,7,13.59
27637,8,13.53
27637,9,13.39
27637,10,13.27
27637,11,12.99
27647,2,0.57
27647,3,0.9
27647,4,0.75
27647,5,0.39
27647,6,0.06
27647,7,0.41
27647,8,0.41
27647,9,0.35
27647,10,0.84
27647,11,0.36
27658,2,1.16
27658,3,1.9
27658,4,1.54
27658,5,0.8
27658,6,0.46
27658,7,0.29
27658,8,0.95
27658,9,1.16
27658,10,1.56
27658,11,2.15
27687,2,9.72
27687,3,9.22
27687,4,4.61
27687,5,4.4
27687,6,4.08
27687,7,5.11
27687,8,4.78
27687,9,7.95
27687,10,8.76
27687,11,4.3
27692,2,2.86
27692,3,3.23
27692,4,2.28
27692,5,2.21
27692,6,1.35
27692,7,2.28
27692,8,1.85
27692,9,2.93
27692,10,3.36
27692,11,1.1
27733,2,0.99
27733,3,1.32
27733,4,1.16
27733,5,0.69
27733,6,0.65
27733,7,0.25
27733,8,0.75
27733,9,1.1
27733,10,1.3
27742,2,0.67
27742,3,0.63
27742,4,0.67
27742,5,0.42
27742,6,0.18
27742,7,0.45
27742,8,0.52
27742,9,0.56
27742,10,0.67
27743,2,2.3
27743,3,5.93
27743,4,2.38
27743,5,1.42
27743,6,0.6
27743,7,1.87
27743,8,2.35
27743,9,2.79
27743,10,3.59
27757,2,16.18
27757,3,12.01
27757,4,9.19
27757,5,6.96
27757,6,4.39
27757,7,6.54
27757,8,11.46
27757,9,15.66
27757,10,16.18
27758,2,4.5
27758,3,3.13
27758,4,1.26
27758,5,1.01
27758,6,0.58
27758,7,0.85
27758,8,1.1
27758,9,0.99
27758,10,0.88
27777,2,0.9
27777,3,0.91
27777,4,0.62
27777,5,0.45
27777,6,0.18
27777,7,0.51
27777,8,0.26
27777,9,0.75
27777,10,1.16
27778,2,1.54
27778,3,1.66
27778,4,1.62
27778,5,1.53
27778,6,1.48
27778,7,1.43
27778,8,1.3
27778,9,1.18
27778,10,1.13
27903,2,0.08
27903,3,0.64
27903,4,1.98
27903,5,0.69
27903,6,0.35
27903,7,0.26
27903,8,0.56
27903,9,0.67
27903,10,0.49
27913,2,4.26
27913,3,6.4
27913,4,6.38
27913,5,5.93
27913,6,5.05
27913,7,6.34
27913,8,6.3
27913,9,6.32
27913,10,5.92
27918,2,1.31
27918,3,3.28
27918,4,3.83
27918,5,1.89
27918,6,1.74
27918,7,2.45
27918,8,2.38
27918,9,2.26
27918,10,2.18
27920,2,1.71
27920,3,4.08
27920,4,5.22
27920,5,2.4
27920,6,2.15
27920,7,3.02
27920,8,2.87
27920,9,2.72
27920,10,2.41
27938,2,0.0
27938,3,11.6
27938,4,2.77
27938,5,0.88
27938,6,0.68
27938,7,0.36
27938,8,1.21
27938,9,1.49
27938,10,1.59
27941,2,16.45
27941,3,28.5
27941,4,32.51
27941,5,22.71
27941,6,31.59
27941,7,32.5
27941,8,32.39
27941,9,29.82
27941,10,27.35
27950,2,6.71
27950,3,7.41
27950,4,6.82
27950,5,5.99
